CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1557383	4.9	*
CHEMBL1448859	5.5	*
CHEMBL1604270	4.9	*
CHEMBL1559269	4.8	*
CHEMBL1476274	5.3	*
CHEMBL1395094	4.8	*
CHEMBL1437087	5.5	*
CHEMBL17350	*	5
CHEMBL437206	*	4.43
CHEMBL438992	*	4.44
CHEMBL1335595	6.3	*
CHEMBL49623	4.9	*
CHEMBL2062340	5.4	*
CHEMBL2062341	5	*
CHEMBL1398335	5.5	*
CHEMBL1328985	5.9	*
CHEMBL1370805	5.2	*
CHEMBL1362630	4.9	*
CHEMBL1615186	*	5.1
CHEMBL1615187	*	4.19
CHEMBL1683445	*	4.68
CHEMBL1683444	*	5.3
CHEMBL1683443	8.85	4.59
CHEMBL1092495	*	5.6
CHEMBL563920	*	5.92
CHEMBL564144	*	5.85
CHEMBL1091775	*	5.38
CHEMBL1091774	*	5.96
CHEMBL1091782	*	5.77
CHEMBL294029	*	4.98
CHEMBL1092126	*	6.04
CHEMBL1092377	*	6.48
CHEMBL3310994	6.1	*
CHEMBL3310992	5.1	*
CHEMBL638	4.89	*
CHEMBL3358963	4.29	*
CHEMBL3310993	4.5	*
CHEMBL3309278	4.34	*
CHEMBL3114720	6.29	*
CHEMBL1336469	5	*
CHEMBL1450573	6.4	*
CHEMBL389390	4.6	*
CHEMBL1611225	5.3	*
CHEMBL1592316	6.1	*
CHEMBL1472700	5	*
CHEMBL1513078	4.4	*
CHEMBL1367478	4.4	*
CHEMBL1320485	5	*
CHEMBL1515802	5.3	*
CHEMBL1456346	4.9	*
CHEMBL1435477	5	*
CHEMBL1397846	5	*
CHEMBL2325485	5.17	*
CHEMBL1475945	5.4	*
CHEMBL1556828	5.4	*
CHEMBL1515706	5.5	*
CHEMBL1552953	5.4	*
CHEMBL1558245	5.4	*
CHEMBL1513031	5.2	*
CHEMBL1591592	5.4	*
CHEMBL1552949	5.4	*
CHEMBL1316401	5.4	*
CHEMBL1417217	5.5	*
CHEMBL1591903	5.4	*
CHEMBL1475151	5.5	*
CHEMBL1593486	5.3	*
CHEMBL1593796	5.4	*
CHEMBL3261407	5	*
CHEMBL3261425	4.66	*
CHEMBL119443	4.7	*
CHEMBL3221511	*	4.2
CHEMBL3217925	*	4.16
CHEMBL3219106	*	4.51
CHEMBL3219110	*	4.42
CHEMBL3219109	*	4.96
CHEMBL3219108	*	5.05
CHEMBL1433276	5	*
CHEMBL3580774	*	5.04
CHEMBL3526984	5.09	*
CHEMBL1672054	5.31	*
CHEMBL3408274	*	4.72
CHEMBL1939697	5.72	*
CHEMBL559147	*	4.1
CHEMBL3822644	6	*
CHEMBL397114	5	*
CHEMBL3220879	*	5.31
CHEMBL574985	4.4	*
CHEMBL551876	*	5.89
CHEMBL508368	*	5.77
CHEMBL1257458	*	8.52
CHEMBL1257347	*	8.55
CHEMBL1257579	*	8.48
CHEMBL1257226	*	7.89
CHEMBL1257459	*	7.89
CHEMBL298817	*	4.46
CHEMBL2180070	*	4.27
CHEMBL258767	4.8	*
CHEMBL2325742	*	5.04
CHEMBL590850	4.91	*
CHEMBL251241	*	6.1
CHEMBL524472	4.4	*
CHEMBL466496	5.89	*
CHEMBL3823030	4.68	4.54
CHEMBL1083646	*	6.92
CHEMBL2386635	5.06	*
CHEMBL2386636	5.17	4.7
CHEMBL2386633	5.1	*
CHEMBL1473679	5.6	*
CHEMBL3237713	*	6.04
CHEMBL377300	4.4	4.75
CHEMBL378663	*	5.27
CHEMBL209456	*	5.62
CHEMBL209407	*	5.07
CHEMBL447955	4.41	*
CHEMBL209240	*	5.17
CHEMBL210630	*	5.75
CHEMBL380388	*	5.85
CHEMBL1257706	4.64	*
CHEMBL1471	7.34	*
CHEMBL1208965	4.8	*
CHEMBL1208959	5.72	*
CHEMBL1208958	4.57	*
CHEMBL1208894	5.23	*
CHEMBL1208960	4.7	*
CHEMBL1208835	5.19	*
CHEMBL1208892	5.17	*
CHEMBL1208964	5.33	*
CHEMBL1208966	4.82	*
CHEMBL1208961	4.57	*
CHEMBL1208963	5.43	*
CHEMBL1208962	5.46	*
CHEMBL1209842	6.7	*
CHEMBL1209017	5.3	*
CHEMBL1209016	5.72	*
CHEMBL1209015	5.68	*
CHEMBL2021601	*	4.55
CHEMBL381965	*	5.75
CHEMBL204573	*	5.55
CHEMBL381555	*	5.71
CHEMBL461571	*	5.49
CHEMBL256362	*	5.1
CHEMBL257478	*	4.92
CHEMBL428777	*	4.85
CHEMBL258313	*	4.92
CHEMBL403774	*	5
CHEMBL402011	*	4.6
CHEMBL2069926	*	4.94
CHEMBL2069927	*	4.67
CHEMBL101510	5.4	*
CHEMBL1398321	4.9	*
CHEMBL558248	*	5.89
CHEMBL1443445	5.6	*
CHEMBL1357930	4.5	*
CHEMBL2032047	*	6.52
CHEMBL1922270	*	7.52
CHEMBL1436444	5.5	*
CHEMBL1365512	5.5	*
CHEMBL1411578	4.8	*
CHEMBL1481984	4.9	*
CHEMBL1433930	5.8	*
CHEMBL1475698	5.3	*
CHEMBL1407576	5.4	*
CHEMBL1592340	5.4	*
CHEMBL1354141	4.7	*
CHEMBL1358636	4.9	*
CHEMBL3651966	*	4.92
CHEMBL1414885	4.9	*
CHEMBL1433593	5.2	*
