CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1355201	5.2	*
CHEMBL1321887	5.4	*
CHEMBL1482155	4.9	*
CHEMBL1457390	4.6	*
CHEMBL1443480	4.6	*
CHEMBL1515945	7.3	*
CHEMBL1492215	5.5	*
CHEMBL1474056	5.6	*
CHEMBL1487191	5.4	*
CHEMBL1325879	4.9	*
CHEMBL1440509	5	*
CHEMBL3786272	*	5
CHEMBL3787134	*	4.68
CHEMBL1613338	4.7	*
CHEMBL1610995	5.5	*
CHEMBL1513280	4.6	*
CHEMBL1356004	4.9	*
CHEMBL1435889	4.6	*
CHEMBL1434411	4.8	*
CHEMBL1355010	4.7	*
CHEMBL1591674	4.6	*
CHEMBL1516276	4.5	*
CHEMBL1316647	4.7	*
CHEMBL1597434	4.9	*
CHEMBL1457544	5	*
CHEMBL1553808	5.8	*
CHEMBL1356256	4.9	*
CHEMBL1443741	4.6	*
CHEMBL1314225	4.8	*
CHEMBL1518947	4.8	*
CHEMBL1317314	5.1	*
CHEMBL1362416	5.8	*
CHEMBL1513740	4.8	*
CHEMBL3330811	*	4.97
CHEMBL3330823	*	5.01
CHEMBL585163	*	4.8
CHEMBL572153	*	4.95
CHEMBL557932	*	6.05
CHEMBL2204244	*	4.43
CHEMBL1090175	*	5.47
CHEMBL1092258	*	5.68
CHEMBL1916540	*	4.64
CHEMBL3758288	*	4.39
CHEMBL3759768	*	4.42
CHEMBL3760108	*	4.78
CHEMBL3126842	*	4.59
CHEMBL3785555	*	4.52
CHEMBL3785621	*	4.62
CHEMBL1916539	*	4.47
CHEMBL3422759	*	4.56
CHEMBL2158050	*	4.63
CHEMBL3753902	*	5.4
CHEMBL3754192	*	5.19
CHEMBL3604691	*	5.7
CHEMBL3604800	*	5.52
CHEMBL3604799	*	5.75
CHEMBL3305005	*	5.68
CHEMBL3604694	*	5.92
CHEMBL3604692	*	5.34
CHEMBL3604798	*	6.05
CHEMBL3604690	*	5.37
CHEMBL3604688	*	5.89
CHEMBL2382343	*	4.32
CHEMBL2382364	*	5.14
CHEMBL2382372	*	4.51
CHEMBL2382345	*	5
CHEMBL2382342	*	4.99
CHEMBL2382287	*	4.6
CHEMBL2382341	*	4.91
CHEMBL2159976	*	4.68
CHEMBL3422755	*	5.89
CHEMBL1555156	4.9	*
CHEMBL1408286	4.6	*
CHEMBL1440650	5.2	*
CHEMBL1514819	4.8	*
CHEMBL1551962	5.6	*
CHEMBL1436811	4.8	*
CHEMBL1552814	4.6	*
CHEMBL1512756	4.8	*
CHEMBL1450455	4.6	*
CHEMBL1476288	4.5	*
CHEMBL1474578	4.9	*
CHEMBL1406879	4.8	*
CHEMBL1611820	4.8	*
CHEMBL1455438	4.6	*
CHEMBL1556431	4.8	*
CHEMBL1395219	4.8	*
CHEMBL1415465	4.7	*
CHEMBL1437007	4.8	*
CHEMBL1515194	4.8	*
CHEMBL1323124	4.8	*
CHEMBL1566442	5.3	*
CHEMBL1484120	5.4	*
CHEMBL1317924	5	*
CHEMBL1551841	5.5	*
CHEMBL1476670	4.9	*
CHEMBL1512744	5.4	*
CHEMBL1370169	6.1	*
CHEMBL1365616	4.9	*
CHEMBL1436521	5.1	*
CHEMBL1314371	5.4	*
CHEMBL1457317	5.1	*
CHEMBL1404317	5.5	*
CHEMBL1476791	5.1	*
CHEMBL1408176	5.4	*
CHEMBL1554453	5.1	*
CHEMBL1358807	5.6	*
CHEMBL1442250	4.9	*
CHEMBL1363467	4.8	*
CHEMBL1401672	4.8	*
CHEMBL1515246	5.7	*
CHEMBL1366061	5	*
CHEMBL1592651	5	*
CHEMBL1436917	5.2	*
CHEMBL1496345	4.8	*
CHEMBL1554308	5.5	*
CHEMBL1317884	5	*
CHEMBL1551284	5	*
CHEMBL1527923	5.7	*
CHEMBL1329499	5.5	*
CHEMBL1436075	5.2	*
CHEMBL1355720	5.8	*
CHEMBL1573555	5.2	*
CHEMBL1591275	4.8	*
CHEMBL1356721	5.4	*
CHEMBL1323385	5.1	*
CHEMBL1594086	5	*
CHEMBL1590645	5.2	*
CHEMBL1316779	5.7	*
CHEMBL1417837	5.4	*
CHEMBL1375753	5.5	*
CHEMBL1407035	5.1	*
CHEMBL563779	*	5.42
CHEMBL550517	*	5.6
CHEMBL560863	*	5.54
CHEMBL562722	*	5.16
CHEMBL550050	*	5.32
CHEMBL2158775	*	5
CHEMBL3422979	*	7.81
CHEMBL3318997	5.03	5
CHEMBL3318990	*	5.35
CHEMBL3318992	*	5.85
CHEMBL3318989	*	6
CHEMBL2204246	*	4.67
CHEMBL2147221	*	5.2
CHEMBL2147210	*	5
CHEMBL1368643	4.6	*
CHEMBL1454153	4.7	*
CHEMBL1554791	4.8	*
CHEMBL1535372	5.3	*
CHEMBL1512444	4.6	*
CHEMBL1336932	5	*
CHEMBL1442106	4.8	*
CHEMBL1515565	4.6	*
CHEMBL1554088	4.9	*
CHEMBL1405909	4.6	*
CHEMBL1455462	5.5	*
CHEMBL1521133	5.5	*
CHEMBL1355089	5.5	*
CHEMBL1410926	5.2	*
CHEMBL1415406	5.1	*
CHEMBL1551051	5.4	*
CHEMBL1571679	5.6	*
CHEMBL1356485	5.1	*
CHEMBL1395620	5.5	*
CHEMBL1569718	4.7	*
CHEMBL1595371	5.5	*
CHEMBL1414780	4.8	*
CHEMBL1330296	4.6	*
CHEMBL1475284	4.6	*
CHEMBL1590230	5	*
CHEMBL1552071	5.2	*
CHEMBL1325701	5.3	*
CHEMBL1315380	5.6	*
CHEMBL1515401	4.9	*
CHEMBL1434833	5	*
CHEMBL1433687	5.1	*
CHEMBL1378901	4.6	*
CHEMBL1476348	4.6	*
CHEMBL1318448	5.2	*
CHEMBL1552864	4.9	*
CHEMBL1535635	4.8	*
CHEMBL1433785	4.5	*
CHEMBL1590259	4.9	*
CHEMBL1512385	5.4	*
CHEMBL1316760	5.3	*
CHEMBL1437713	4.9	*
CHEMBL1472880	5.5	*
CHEMBL1512780	5	*
